SDTM Class,Domain,Variable Order,Class,Dataset Name,Variable Name,Variable Label,Type,CDISC CT Codelist Code(s),Codelist Submission Value(s),Described Value Domain(s),Value List,Role,Core,CDISC Notes
Interventions,SU,32.0,Interventions,SU,SUSTRF,Start Relative to Reference Period,Char,C66728,,,,Timing,Perm,"Describes the start of the substance use relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"" was collected, this information may be translated into SUSTRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables."
Interventions,SU,33.0,Interventions,SU,SUENRF,End Relative to Reference Period,Char,C66728,,,,Timing,Perm,"Describes the end of the substance use with relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be translated into SUENRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables."
Interventions,SU,34.0,Interventions,SU,SUSTRTPT,Start Relative to Reference Time Point,Char,C66728,,,,Timing,Perm,"Identifies the start of the substance as being before or after the reference time point defined by variable SUSTTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7 , Use of Relative Timing Variables."
Interventions,SU,35.0,Interventions,SU,SUSTTPT,Start Reference Time Point,Char,,,,,Timing,Perm,"Description or date/time in ISO 8601 character format of the reference point referred to by SUSTRTPT. Examples: ""2003-12-15"", ""VISIT 1""."
Interventions,SU,36.0,Interventions,SU,SUENRTPT,End Relative to Reference Time Point,Char,C66728,,,,Timing,Perm,"Identifies the end of the substance as being before or after the reference time point defined by variable SUENTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7 , Use of Relative Timing Variables."
Interventions,SU,37.0,Interventions,SU,SUENTPT,End Reference Time Point,Char,,,,,Timing,Perm,"Description or date/time in ISO 8601 character format of the reference point referred to by SUENRTPT. Examples: ""2003-12-25"", ""VISIT 2""."
Events,AE,1.0,Events,AE,STUDYID,Study Identifier,Char,,,,,Identifier,Req,Unique identifier for a study.
Events,AE,2.0,Events,AE,DOMAIN,Domain Abbreviation,Char,,,,AE,Identifier,Req,Two-character abbreviation for the domain.
Events,AE,3.0,Events,AE,USUBJID,Unique Subject Identifier,Char,,,,,Identifier,Req,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.
Events,AE,4.0,Events,AE,SPDEVID,Sponsor Device Identifier,Char,,,,,Identifier,Perm,A sequence of characters used by the sponsor to uniquely identify a specific device. Used to represent a device associated in some way with the adverse event. SPDEVID values are defined in the Device Identifiers (DI) domain.
Events,AE,5.0,Events,AE,AESEQ,Sequence Number,Num,,,,,Identifier,Req,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.
Events,AE,6.0,Events,AE,AEGRPID,Group ID,Char,,,,,Identifier,Perm,Used to tie together a block of related records in a single domain for a subject.
Events,AE,7.0,Events,AE,AEREFID,Reference ID,Char,,,,,Identifier,Perm,Internal or external identifier such as a serial number on an SAE reporting form.
Events,AE,8.0,Events,AE,AESPID,Sponsor-Defined Identifier,Char,,,,,Identifier,Perm,Sponsor-defined identifier. It may be preprinted on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on an Adverse Events CRF page.
Events,AE,9.0,Events,AE,AETERM,Reported Term for the Adverse Event,Char,,,,,Topic,Req,Verbatim name of the event.
Events,AE,10.0,Events,AE,AEMODIFY,Modified Reported Term,Char,,,,,Synonym Qualifier,Perm,"If AETERM is modified to facilitate coding, then AEMODIFY will contain the modified text."
Events,AE,11.0,Events,AE,AELLT,Lowest Level Term,Char,,,MedDRA,,Variable Qualifier,Exp,Dictionary-derived text description of the lowest level term.
Events,AE,12.0,Events,AE,AELLTCD,Lowest Level Term Code,Num,,,MedDRA,,Variable Qualifier,Exp,Dictionary-derived code for the lowest level term.
Events,AE,13.0,Events,AE,AEDECOD,Dictionary-Derived Term,Char,,,MedDRA,,Synonym Qualifier,Req,Dictionary-derived text description of AETERM or AEMODIFY. Equivalent to the Preferred Term (PT in MedDRA). The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the external codelist element in the Define-XML document.
Events,AE,14.0,Events,AE,AEPTCD,Preferred Term Code,Num,,,MedDRA,,Variable Qualifier,Exp,Dictionary-derived code for the preferred term.
Events,AE,15.0,Events,AE,AEHLT,High Level Term,Char,,,MedDRA,,Variable Qualifier,Exp,Dictionary-derived text description of the high level term for the primary system organ class (SOC).
Events,AE,16.0,Events,AE,AEHLTCD,High Level Term Code,Num,,,MedDRA,,Variable Qualifier,Exp,Dictionary-derived code for the high level term for the primary SOC.
Events,AE,17.0,Events,AE,AEHLGT,High Level Group Term,Char,,,MedDRA,,Variable Qualifier,Exp,Dictionary-derived text description of the high level group term for the primary SOC.
Events,AE,18.0,Events,AE,AEHLGTCD,High Level Group Term Code,Num,,,MedDRA,,Variable Qualifier,Exp,Dictionary-derived code for the high level group term for the primary SOC.
Events,AE,19.0,Events,AE,AECAT,Category for Adverse Event,Char,,,,,Grouping Qualifier,Perm,"Used to define a category of related records. Examples: ""BLEEDING"", ""NEUROPSYCHIATRIC""."
Events,AE,20.0,Events,AE,AESCAT,Subcategory for Adverse Event,Char,,,,,Grouping Qualifier,Perm,"A further categorization of adverse event. Example: ""NEUROLOGIC""."
Events,AE,21.0,Events,AE,AEPRESP,Pre-Specified Adverse Event,Char,C66742,,,,Variable Qualifier,Perm,"A value of ""Y"" indicates that this adverse event was prespecified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free-text verbatim terms)."
Events,AE,22.0,Events,AE,AEBODSYS,Body System or Organ Class,Char,,,,,Record Qualifier,Exp,"Dictionary derived. Body system or organ class used by the sponsor from the coding dictionary (e.g., MedDRA). When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables, which may not necessarily be the primary SOC."
Events,AE,23.0,Events,AE,AEBDSYCD,Body System or Organ Class Code,Num,,,MedDRA,,Variable Qualifier,Exp,"Dictionary derived. Code for the body system or organ class used by the sponsor. When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables, which may not necessarily be the primary SOC."
Events,AE,24.0,Events,AE,AESOC,Primary System Organ Class,Char,,,MedDRA,,Variable Qualifier,Exp,Dictionary-derived text description of the primary SOC. Will be the same as AEBODSYS if the primary SOC was used for analysis.
Events,AE,25.0,Events,AE,AESOCCD,Primary System Organ Class Code,Num,,,MedDRA,,Variable Qualifier,Exp,Dictionary-derived code for the primary SOC. Will be the same as AEBDSYCD if the primary SOC was used for analysis.
Events,AE,26.0,Events,AE,AELOC,Location of Event,Char,C74456,,,,Record Qualifier,Perm,"Describes anatomical location relevant for the event (e.g., ""ARM"" for skin rash)."
Events,AE,27.0,Events,AE,AESEV,Severity/Intensity,Char,C66769,,,,Record Qualifier,Perm,"The severity or intensity of the event. Examples: ""MILD"", ""MODERATE"", ""SEVERE""."
